country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,Continent_x,Marriage,Divorce,Actual,Percent,rank,IQ,education_expenditure,avg_income,avg_temp,ISO3,Continent_y,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Year,Expected Years of Schooling,year,beef,pig,poultry,sheep,Unnamed: 0,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,LITRES/CAPITA,avg_temp_c,latitude,longitude,altitude
Iceland,Western Europe,7.53,1.926,1.62,0.559,0.738,0.25,0.187,Europe,4.9,1.8,2.72,36.73,19.0,99.0,3812.0,47106.0,8.1,ISL,Europe,Northern Hemisphere,Very High,,3.0,2021.0,19.16305923,,,,,,10.0,ISL,ALCOHOL,TOT,LT_CAP15,A,2019.0,7.4,5.68351233432884,64.04139515,-21.472884299999997,0.0
Netherlands,Western Europe,7.403,1.942,1.488,0.545,0.672,0.251,0.394,Europe,3.7,1.8,2.06,48.65,7.0,101.0,2386.0,45337.0,14.4,NLD,Europe,Northern Hemisphere,Very High,,10.0,2021.0,18.69316522,,,,,,17.0,NLD,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.2,11.234621676523362,52.004775125,5.258116999426606,0.0
Sweden,Western Europe,7.395,1.921,1.51,0.562,0.754,0.225,0.52,Europe,5.0,2.5,2.0,50.0,25.0,98.0,3419.0,49535.0,9.9,SWE,Europe,Northern Hemisphere,Very High,,7.0,2021.0,19.41852951,,,,,,24.0,SWE,ALCOHOL,TOT,LT_CAP15,A,2019.0,7.1,8.108048637179675,58.0972528125,15.3064039,0.0
Switzerland,Western Europe,7.24,2.022,1.463,0.582,0.678,0.151,0.475,Europe,4.8,2.0,2.4,41.67,14.0,100.0,3550.0,70399.0,15.2,CHE,Europe,Northern Hemisphere,Very High,,1.0,2021.0,16.50029945,2023.0,13.0787113777249,22.3434851084187,14.5382128091658,1.13074768854093,25.0,CHE,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.7,10.493491670233436,47.08862506363637,7.964927654545455,0.0
Luxembourg,Western Europe,7.228,2.2,1.357,0.549,0.71,0.149,0.418,Europe,2.9,2.3,1.26,79.31,11.0,100.0,3665.0,71296.0,14.7,LUX,Europe,Northern Hemisphere,Very High,,17.0,2021.0,14.39813995,,,,,,15.0,LUX,ALCOHOL,TOT,LT_CAP15,A,2019.0,11.0,10.421872973704968,49.7401833,6.14492695,0.0
Ireland,Western Europe,6.911,2.152,1.425,0.539,0.656,0.186,0.409,Europe,4.6,0.7,6.57,15.22,34.0,95.0,2500.0,43903.0,13.2,IRL,Europe,Northern Hemisphere,Very High,,8.0,2021.0,18.94522095,,,,,,11.0,IRL,ALCOHOL,TOT,LT_CAP15,A,2019.0,10.8,10.680518902818624,52.80929555,-7.983132,0.0
Germany,Western Europe,6.892,1.919,1.401,0.539,0.618,0.153,0.365,Europe,4.9,1.9,2.58,38.78,13.0,100.0,1883.0,39911.0,13.8,DEU,Europe,Northern Hemisphere,Very High,,9.0,2021.0,17.01013947,,,,,,7.0,DEU,ALCOHOL,TOT,LT_CAP15,A,2019.0,10.6,10.79305122715033,51.4431847,10.322773529616402,0.0
Belgium,Western Europe,6.859,1.907,1.449,0.528,0.59,0.137,0.273,Europe,3.9,2.1,1.86,53.85,23.0,98.0,2507.0,40526.0,14.8,BEL,Europe,Northern Hemisphere,Very High,,13.0,2021.0,19.60421944,,,,,,1.0,BEL,ALCOHOL,TOT,LT_CAP15,A,2019.0,9.2,19.222634206548808,50.957360050000005,4.7205472,0.0
United Kingdom,Western Europe,6.796,1.857,1.366,0.511,0.626,0.272,0.34,Europe,4.4,1.8,2.44,40.91,17.0,99.0,2076.0,40698.0,12.9,GBR,Europe,Northern Hemisphere,Very High,,18.0,2021.0,17.30971909,2023.0,16.81201976357674,21.320932986159622,32.258149623378785,4.702000519398214,27.0,GBR,ALCOHOL,TOT,LT_CAP15,A,2019.0,9.7,13.133714541004522,37.62238135714286,-10.008814599224644,0.0
France,Western Europe,6.661,1.856,1.433,0.566,0.582,0.083,0.27,Europe,3.7,1.9,1.95,51.35,28.0,97.0,2042.0,37610.0,16.8,FRA,Europe,Northern Hemisphere,Very High,,28.0,2021.0,15.81206989,,,,,,6.0,FRA,ALCOHOL,TOT,LT_CAP15,A,2019.0,11.4,15.21960362091384,37.72538333571429,-5.452746192743243,0.0
Spain,Western Europe,6.436,1.798,1.491,0.567,0.533,0.101,0.157,Europe,1.9,1.6,1.19,84.21,33.0,95.0,1176.0,26463.0,21.1,ESP,Europe,Northern Hemisphere,Very High,,27.0,2021.0,17.91690063,,,,,,23.0,ESP,ALCOHOL,TOT,LT_CAP15,A,2019.0,10.7,18.07335654073791,39.19810784814815,-3.95968150122778,0.0
Malta,Western Europe,6.3,1.841,1.468,0.547,0.671,0.2,0.143,Europe,5.8,0.7,8.29,12.07,,,,,,MLT,Europe,Northern Hemisphere,Very High,,23.0,2021.0,16.83856964,,,,,,,,,,,,,,19.52784090909091,35.8989818,14.5136759,0.0
Portugal,Western Europe,5.968,1.758,1.356,0.537,0.693,0.031,0.037,Europe,1.8,1.7,1.06,94.44,40.0,93.0,1005.0,19253.0,21.5,PRT,Europe,Northern Hemisphere,Very High,,38.0,2021.0,16.87122917,,,,,,21.0,PRT,ALCOHOL,TOT,LT_CAP15,A,2019.0,10.4,17.52328047967339,38.52127608333333,-12.275095110088843,0.0
Greece,Western Europe,5.931,1.708,1.247,0.535,0.248,0.008,0.097,Europe,4.7,1.8,2.61,38.3,43.0,91.0,781.0,21101.0,22.3,GRC,Europe,Northern Hemisphere,Very High,,33.0,2021.0,20.02878952,,,,,,8.0,GRC,ALCOHOL,TOT,LT_CAP15,A,2019.0,6.3,16.258174809608324,39.12434993,22.682692037783195,0.0
Israel,Middle East and North Africa,7.473,1.833,1.521,0.577,0.569,0.124,0.158,Asia,6.5,1.8,3.61,27.69,38.0,93.0,1811.0,29009.0,25.4,ISR,Asia,Northern Hemisphere,Very High,,22.0,2021.0,16.05088997,2023.0,20.3650531336039,1.28613333683136,66.9587857371893,1.69865219023672,35.0,ISR,ALCOHOL,TOT,LT_CAP15,A,2019.0,3.1,19.715490164287115,32.23935275,34.98264915000454,0.0
United Arab Emirates,Middle East and North Africa,6.571,2.015,1.223,0.401,0.745,0.188,0.247,Asia,2.8,0.7,4.0,25.0,70.0,82.0,805.0,38644.0,34.4,ARE,Asia,Northern Hemisphere,Very High,AS,26.0,2021.0,15.71769047,,,,,,,,,,,,,,29.033337722925136,25.20977565,55.257297025,0.0
Bahrain,Middle East and North Africa,6.173,1.883,1.269,0.389,0.748,0.199,0.138,,,,,,,,,,,BHR,Asia,Northern Hemisphere,Very High,AS,35.0,2021.0,16.29755974,,,,,,,,,,,,,,28.25940063091483,26.2235041,50.5822436,0.0
Algeria,Middle East and North Africa,5.329,1.353,1.298,0.409,0.252,0.073,0.152,Africa,10.1,1.6,6.31,15.84,83.0,77.0,253.0,3684.0,26.5,DZA,Africa,Northern Hemisphere,High,AS,91.0,2021.0,14.62689602,,,,,,,,,,,,,,19.14418898617392,35.01618082592592,3.716139261507913,0.0
Iraq,Middle East and North Africa,4.941,1.281,0.953,0.324,0.351,0.134,0.038,,,,,,54.0,88.0,193.0,3757.0,32.3,IRQ,Asia,Northern Hemisphere,Medium,AS,121.0,2021.0,12.08747317,,,,,,,,,,,,,,27.198269099180006,31.49813225,46.81936575,0.0
Iran,Middle East and North Africa,4.876,1.465,1.102,0.411,0.281,0.229,0.13,Asia,11.2,1.6,7.0,14.29,74.0,81.0,176.0,4545.0,26.6,IRN,Asia,Northern Hemisphere,High,SA,76.0,2021.0,14.61524963,,,,,,,,,,,,,,18.34903292567535,33.984869136538464,51.774167842016595,0.0
Turkiye,Middle East and North Africa,4.614,1.714,1.148,0.467,0.125,0.095,0.096,,,,,,,,,,,,,,,,,,,2023.0,9.16592951051478,1.7180507145e-06,20.3668702614398,4.25862543084704,,,,,,,,,,,,
Tunisia,Middle East and North Africa,4.497,1.333,0.981,0.422,0.259,0.022,0.016,Africa,,,,,,,,,,TUN,Africa,Northern Hemisphere,High,AS,97.0,2021.0,15.42538224,,,,,,,,,,,,,,20.567155579306124,35.1648070625,9.434523291365132,0.0
Egypt,Middle East and North Africa,4.17,1.377,0.972,0.326,0.467,0.038,0.25,Africa,11.0,1.9,5.79,17.27,82.0,78.0,92.0,2175.0,30.1,EGY,Africa,Northern Hemisphere,High,AS,97.0,2021.0,13.78649972,,,,,,,,,,,,,,23.77133031681346,27.67817386666667,30.954973491985445,0.0
Jordan,Middle East and North Africa,4.12,1.292,0.98,0.438,0.517,0.056,0.173,Asia,6.7,1.8,3.72,26.87,,,,,,JOR,Asia,Northern Hemisphere,High,AS,102.0,2021.0,10.64655972,,,,,,,,,,,,,,20.67224579754351,31.190647733333332,36.48802187842262,0.0
Australia,North America and ANZ,7.095,1.899,1.497,0.532,0.677,0.242,0.31,Oceania,4.6,2.0,2.3,43.48,16.0,99.0,2343.0,42948.0,24.3,AUS,Oceania,Southern Hemisphere,Very High,,5.0,2021.0,21.05459023,2023.0,18.4874017922009,22.6072804059422,44.5113703338862,7.20039143386479,,,,,,,,,18.93436041053645,-29.90253774545454,136.5724594909091,0.0
Canada,North America and ANZ,6.961,1.881,1.484,0.541,0.656,0.218,0.364,North America,4.4,2.1,2.1,47.73,9.0,100.0,2052.0,40207.0,7.4,CAN,America,Northern Hemisphere,Very High,,15.0,2021.0,16.39625931,2023.0,16.9212633279307,15.6900512104963,34.3143184604227,0.922040819551859,2.0,CAN,ALCOHOL,TOT,LT_CAP15,A,2019.0,8.0,6.228910011719514,49.27829418461538,-85.91599523076924,0.0
Lithuania,Central and Eastern Europe,6.763,1.808,1.511,0.432,0.487,0.059,0.089,Europe,7.0,3.1,2.26,44.29,37.0,95.0,550.0,11330.0,11.6,LTU,Europe,Northern Hemisphere,Very High,,35.0,2021.0,16.28506088,,,,,,41.0,LTU,ALCOHOL,TOT,LT_CAP15,A,2019.0,11.1,7.980997474747475,54.6870458,25.2829111,0.0
Slovenia,Central and Eastern Europe,6.65,1.815,1.539,0.532,0.707,0.144,0.113,Europe,3.5,1.1,3.18,31.43,,,,,,SVN,Europe,Northern Hemisphere,Very High,,23.0,2021.0,17.65492058,,,,,,37.0,SVN,ALCOHOL,TOT,LT_CAP15,A,2019.0,11.1,12.129430379746836,46.0500268,14.5069289,0.0
Romania,Central and Eastern Europe,6.589,1.726,1.28,0.423,0.631,0.044,0.0,Europe,7.4,1.6,4.63,21.62,55.0,88.0,249.0,7109.0,16.0,ROU,Europe,Northern Hemisphere,Very High,,53.0,2021.0,14.22990036,,,,,,47.0,ROU,ALCOHOL,TOT,LT_CAP15,A,2019.0,11.0,11.41817155562116,45.77264401428572,25.126334928314883,0.0
Slovakia,Central and Eastern Europe,6.469,1.731,1.544,0.472,0.494,0.128,0.022,Europe,5.7,1.8,3.17,31.58,,,,,,SVK,Europe,Northern Hemisphere,Very High,,45.0,2021.0,14.51303959,,,,,,22.0,SVK,ALCOHOL,TOT,LT_CAP15,A,2019.0,10.3,10.333415227605164,48.72780835,20.20412895,0.0
Kosovo,Central and Eastern Europe,6.368,1.374,1.269,0.372,0.639,0.275,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Central and Eastern Europe,6.213,1.737,1.505,0.405,0.58,0.107,0.071,Europe,6.8,3.1,2.19,45.59,,,,,,LVA,Europe,Northern Hemisphere,Very High,,39.0,2021.0,16.20252991,,,,,,40.0,LVA,ALCOHOL,TOT,LT_CAP15,A,2019.0,11.6,7.994621790423317,56.9493977,24.1051846,0.0
Serbia,Central and Eastern Europe,6.144,1.552,1.343,0.424,0.617,0.246,0.081,Europe,5.2,1.4,3.71,26.92,50.0,89.0,208.0,4876.0,18.3,SRB,Europe,Northern Hemisphere,Very High,ECA,63.0,2021.0,14.40009022,,,,,,,,,,,,,,13.567229409908489,45.03647345,20.1510365,0.0
Croatia,Central and Eastern Europe,6.125,1.727,1.455,0.475,0.5,0.087,0.003,Europe,4.9,1.5,3.27,30.61,36.0,95.0,505.0,11642.0,18.1,HRV,Europe,Northern Hemisphere,Very High,,40.0,2021.0,15.11209965,,,,,,45.0,HRV,ALCOHOL,TOT,LT_CAP15,A,2019.0,9.6,15.967402966235404,44.791907949999995,15.930338852983576,0.0
Hungary,Central and Eastern Europe,6.041,1.754,1.519,0.435,0.501,0.105,0.065,Europe,5.2,1.7,3.06,32.69,21.0,99.0,585.0,11391.0,16.6,HUN,Europe,Northern Hemisphere,Very High,,46.0,2021.0,15.0336281,,,,,,9.0,HUN,ALCOHOL,TOT,LT_CAP15,A,2019.0,10.7,9.739453472215889,47.18522106875,19.34716372836406,0.0
Moldova,Central and Eastern Europe,5.819,1.425,1.302,0.375,0.61,0.093,0.02,Europe,7.3,3.1,2.35,42.47,,,,,,MDA,Europe,Northern Hemisphere,High,ECA,80.0,2021.0,14.43299961,,,,,,,,,,,,,,11.301680221126064,47.39345345,28.38044725,0.0
Russia,Central and Eastern Europe,5.661,1.68,1.383,0.366,0.449,0.12,0.091,Europe,5.3,3.9,1.36,73.58,32.0,96.0,338.0,8241.0,9.5,,,,,,,,,,,,,,,,,,,,,,9.903240821966362,53.41374189745479,57.43821075618333,0.0
Bosnia and Herzegovina,Central and Eastern Europe,5.633,1.467,1.361,0.429,0.485,0.247,0.008,Europe,4.8,0.6,8.0,12.5,,,,,,BIH,Europe,Northern Hemisphere,High,ECA,74.0,2021.0,13.8,,,,,,,,,,,,,,12.599125406522289,44.31203095,17.789225950000002,0.0
Bulgaria,Central and Eastern Europe,5.466,1.635,1.457,0.408,0.557,0.106,0.013,Europe,4.1,1.5,2.73,36.59,42.0,91.0,224.0,5703.0,18.1,BGR,Europe,Northern Hemisphere,High,,68.0,2021.0,13.89729023,,,,,,44.0,BGR,ALCOHOL,TOT,LT_CAP15,A,2019.0,11.2,12.838252662963804,42.5560637,25.721342237492987,0.0
Armenia,Central and Eastern Europe,5.342,1.466,1.134,0.443,0.551,0.053,0.16,Europe,6.0,1.0,6.0,16.67,,,,,,ARM,Asia,Northern Hemisphere,High,ECA,85.0,2021.0,13.11676025,,,,,,,,,,,,,,8.561043258534719,40.28228360833334,44.89759648012777,0.0
Albania,Central and Eastern Europe,5.277,1.449,0.951,0.48,0.549,0.133,0.037,Europe,8.1,1.7,4.76,20.99,69.0,82.0,118.0,3513.0,21.4,ALB,Europe,Northern Hemisphere,High,ECA,67.0,2021.0,14.44799995,,,,,,,,,,,,,,14.512254454111972,41.6937207,19.919767033333333,0.0
Ukraine,Central and Eastern Europe,5.071,1.358,1.354,0.355,0.551,0.265,0.016,Europe,4.06,2.88,1.41,70.94,44.0,91.0,143.0,2375.0,14.6,UKR,Europe,Northern Hemisphere,High,ECA,77.0,2021.0,14.95656854,2023.0,5.20224015427096,13.4381409347444,24.0770555163356,0.298596010804181,,,,,,,,,10.097010001276749,49.1422791,30.62646411578947,0.0
Costa Rica,Latin America and Caribbean,6.609,1.587,1.34,0.503,0.683,0.099,0.116,North America,5.3,2.5,2.12,47.17,53.0,88.0,487.0,7480.0,28.6,CRI,America,Northern Hemisphere,Very High,LAC,58.0,2021.0,16.54577065,,,,,,42.0,CRI,ALCOHOL,TOT,LT_CAP15,A,2019.0,3.1,,,,
Uruguay,Latin America and Caribbean,6.494,1.617,1.445,0.435,0.683,0.102,0.254,South America,3.2,,,,,,,,,URY,America,Southern Hemisphere,Very High,LAC,58.0,2021.0,16.83259964,,,,,,,,,,,,,,18.04902035279357,-33.38949528,-56.741444820000005,0.0
Chile,Latin America and Caribbean,6.334,1.645,1.384,0.511,0.546,0.131,0.076,South America,3.3,0.7,4.71,21.21,52.0,88.0,482.0,10195.0,18.5,CHL,America,Southern Hemisphere,Very High,LAC,42.0,2021.0,16.73130035,2023.0,19.5928765143762,20.3852780146451,37.9813552483916,0.413927052412702,30.0,CHL,ALCOHOL,TOT,LT_CAP15,A,2019.0,7.1,14.630812206117204,-34.53477597360868,-71.82557644913263,0.0
